Restaurant ID,Restaurant Name,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
18349894,Anjlika,"Bakery, Desserts, Fast Food",400,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,7
304552,IZU,"Japanese, Sushi",1100,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.4,Orange,Average,129
4618,Sugar & Spice - Le Marche,"Bakery, Fast Food",800,Indian Rupees(Rs.),No,No,No,No,2,2.9,Orange,Average,107
307366,Bizibean,Cafe,550,Indian Rupees(Rs.),No,No,No,No,2,3.6,Yellow,Good,59
18366026,ChandChini,"North Indian, Mithai, Chinese, Street Food",800,Indian Rupees(Rs.),Yes,No,No,No,2,3.8,Yellow,Good,40
9895,Coffee & Chai Co.,"Italian, Mexican, Cafe",1100,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.6,Yellow,Good,296
18453035,Greek Food & Beyond,"Greek, Mediterranean",1200,Indian Rupees(Rs.),Yes,No,No,No,3,3.6,Yellow,Good,27
302455,Mediumwelldone,"American, European, North Indian",1800,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.5,Yellow,Good,259
308248,Sonya Bakery Cafe,"Bakery, Desserts, Beverages",350,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good,34
313047,Soul & Spice Co.,"North Indian, Street Food, Beverages",1000,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.8,Yellow,Good,120
8241,7 Degrees Brauhaus,"Continental, North Indian, European, Finger Food",3200,Indian Rupees(Rs.),Yes,No,No,No,4,4.2,Green,Very Good,1193
18341926,Cafe Amaretto,"Cafe, Italian, European, Bakery",1400,Indian Rupees(Rs.),Yes,Yes,No,No,3,4.1,Green,Very Good,147
308023,Sibang Bakery,"Bakery, Desserts, Beverages",500,Indian Rupees(Rs.),No,Yes,No,No,2,4.1,Green,Very Good,227
311486,The Hangout by 1861,"Continental, American, Italian",1600,Indian Rupees(Rs.),Yes,Yes,No,No,3,4,Green,Very Good,192
18138430,The Mad Teapot/The Wishing Chair,"Cafe, Italian, Bakery",1000,Indian Rupees(Rs.),Yes,No,No,No,3,4.4,Green,Very Good,83
18361778,Ninkasi Imperial Brews & Cookery,"North Indian, Asian, European",3000,Indian Rupees(Rs.),Yes,No,No,No,4,4.2,Green,Very Good,77
9742,Zaffran,"North Indian, Mughlai",1600,Indian Rupees(Rs.),No,Yes,No,No,3,4.1,Green,Very Good,229
7518,Spiritual Bar & Lounge-DoubleTree by Hilton,"Pizza, Italian",2000,Indian Rupees(Rs.),Yes,No,No,No,4,3.4,Orange,Average,52
7516,The Food Store - DoubleTree by Hilton,"European, Italian",3000,Indian Rupees(Rs.),Yes,No,No,No,4,3.6,Yellow,Good,58
3586,Barista,Cafe,650,Indian Rupees(Rs.),No,Yes,No,No,2,3.3,Orange,Average,25
313264,Burger King,"Burger, Fast Food",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average,452
311805,Club Mojo,"North Indian, Chinese",2000,Indian Rupees(Rs.),Yes,No,No,No,4,2.6,Orange,Average,35
308897,KFC,"American, Fast Food, Burger",500,Indian Rupees(Rs.),No,Yes,No,No,2,2.6,Orange,Average,134
2825,Not Just Paranthas,North Indian,1100,Indian Rupees(Rs.),Yes,Yes,No,No,3,2.7,Orange,Average,426
9674,Shree Rathnam,"South Indian, North Indian, Chinese",800,Indian Rupees(Rs.),No,Yes,No,No,2,2.9,Orange,Average,108
18276997,Mogli's Coffee,Cafe,150,Indian Rupees(Rs.),No,No,No,No,1,3.8,Yellow,Good,35
18336180,Pind Balluchi,"North Indian, Mughlai",800,Indian Rupees(Rs.),No,Yes,No,No,2,2.6,Orange,Average,26
311061,Sip n Bite,"North Indian, Chinese, Continental",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.2,Orange,Average,38
18312471,Abar Khabo,Bengali,550,Indian Rupees(Rs.),No,Yes,No,No,2,3.6,Yellow,Good,86
18378048,Moti Mahal Delux,North Indian,1000,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.6,Yellow,Good,29
18462584,The Lost Mughal,"North Indian, Mughlai, Biryani",700,Indian Rupees(Rs.),No,Yes,No,No,2,3.8,Yellow,Good,43
